OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP_put,IV,VOLUME,CHNG IN OI,OI
"1,181",-1,15,78.77,"2,698.00",63,800,"2,579.55","2,595.45",50,"16,800.00","4,450",0.95,1,450,-0.1,1,38.84,"11,120","5,804","7,872"
-,-,-,-,-,-,"1,750","2,466.90","2,626.35","1,000","16,850.00","17,900",0.85,1.3,100,-0.2,1.25,38.81,262,34,131
47,-,-,-,-,-,800,"2,476.90","2,605.70",250,"16,900.00","1,650",1,1.2,"1,000",-0.15,1,37.4,945,81,300
-,-,-,-,-,-,250,"2,391.85","2,486.90",50,"16,950.00","3,150",0.9,1.25,50,-0.45,0.9,36.1,82,31,92
"7,019",-168,218,-,"2,392.25",-37.15,450,"2,385.10","2,393.50",300,"17,000.00","10,000",1,1.05,"10,700",-0.25,1,35.78,"14,887","4,149","19,735"
3,-,-,-,-,-,"1,500","2,198.70","2,398.10","1,500","17,050.00","25,950",0.9,2,"1,000",-0.3,0.95,34.88,67,-7,100
194,-,-,-,"2,398.65",-,"1,750","2,170.65","2,394.35","1,000","17,100.00",900,1.05,1.65,"1,800",-0.4,1.05,35.6,"1,453",329,508
1,-,-,-,-,-,"1,500","2,174.35","2,296.75","1,500","17,150.00","1,700",1,2,"1,000",-0.4,1,34.29,"1,381",573,623
153,-,7,-,"2,205.00",30,200,"2,184.35","2,208.25",400,"17,200.00","1,000",1.05,1.7,"1,800",-0.5,1.05,33.85,"3,375","1,255","1,452"
-,-,-,-,-,-,"1,500","2,077.75","2,196.45","1,000","17,250.00","1,800",0.95,2,"1,000",-1,1.25,32.98,97,-,145
258,-,3,54.49,"2,152.35",24.1,"1,500","2,008.40","2,139.20",50,"17,300.00",500,1.4,2,"1,200",-0.3,1.4,32.66,"4,267","1,272","1,489"
-,-,-,-,-,-,"1,500","1,965.85","2,094.90","1,000","17,350.00","1,800",0.95,1.75,50,-0.05,1.75,32.75,103,24,97
392,2,4,45.52,"2,034.00",53.5,200,"1,978.65","1,996.85",50,"17,400.00",550,1.25,1.5,"1,400",-0.5,1.3,31.32,"6,451","1,927","2,412"
-,-,-,-,-,-,"1,500","1,836.40","1,993.05","1,000","17,450.00","1,500",1.1,1.85,"1,000",-0.55,1.1,29.67,243,22,105
"2,512",-52,85,-,"1,888.75",-35.2,150,"1,887.25","1,896.10",150,"17,500.00","1,150",1.35,1.4,"3,050",-0.4,1.4,29.86,"33,776","11,178","22,980"
-,-,-,-,-,-,"1,500","1,760.45","1,892.25","1,000","17,550.00",150,1.25,4.9,"9,000",-0.75,1.25,29.13,"6,273","2,100","2,439"
591,-,10,-,"1,800.00",-40,200,"1,776.85","1,800.50",100,"17,600.00","4,500",1.3,1.75,"3,500",-0.5,1.6,28.51,"14,464","4,722","5,266"
-,-,-,-,-,-,"1,500","1,631.65","1,789.85","1,000","17,650.00","1,800",1.1,2.5,400,0.3,2.5,27.98,"1,447",66,291
371,-70,93,-,"1,700.00",-30.95,100,"1,684.70","1,702.15",150,"17,700.00","1,800",1.35,1.55,"1,550",-0.75,1.55,27.24,"15,980","4,377","5,534"
-,-,-,-,-,-,"1,500","1,580.65","1,690.75","1,000","17,750.00","7,200",1.15,1.8,"1,000",-0.65,1.35,26.1,764,11,216
383,-10,19,41.23,"1,583.10",5.1,100,"1,587.75","1,593.95",50,"17,800.00",600,1.5,1.8,"1,000",-0.8,1.5,25.86,"14,905","3,513","6,525"
5,-,2,38.54,"1,590.00",-410,"1,650","1,447.30","1,592.00","1,000","17,850.00","1,700",1.35,1.9,"1,000",-1.3,1.35,25.21,"1,951",199,378
260,-27,95,-,"1,515.25",30.25,150,"1,488.05","1,498.45",150,"17,900.00",50,1.45,1.65,150,-0.75,1.65,24.2,"38,828","13,264","15,108"
-,-,-,-,-,-,"1,800","1,353.15","1,483.70","1,000","17,950.00","1,000",1.35,2.25,"1,800",-0.6,1.5,23.38,"1,205",69,340
"9,938",-471,"1,264",-,"1,391.55",-34.8,250,"1,390.45","1,395.00",900,"18,000.00","4,300",1.6,1.65,"1,000",-1.05,1.6,22.9,"1,37,444","38,058","92,842"
3,-,-,-,"1,379.10",-,"1,500","1,282.25","1,389.85","1,000","18,050.00",950,1.5,2,250,-0.7,1.95,22.25,"1,047",-22,126
560,-70,97,-,"1,282.00",-45.15,50,"1,278.45","1,326.45",50,"18,100.00","1,100",1.5,1.75,50,-1.1,1.6,21.58,"24,442","6,210","8,642"
4,-,-,-,"1,626.00",-,"1,500","1,172.20","1,286.00","1,000","18,150.00","1,800",1.4,1.9,600,-0.75,1.9,21.12,"2,834",666,839
552,-3,18,-,"1,200.00",-36,200,"1,188.90","1,196.65",100,"18,200.00","1,800",1.8,1.9,50,-0.85,1.9,20.37,"30,014","5,963","11,679"
13,2,5,-,"1,143.20",-46.8,"3,250","1,054.70","1,201.10","1,800","18,250.00","3,500",1.4,1.9,"1,750",-1.3,1.4,19.74,"1,628",360,727
668,-33,59,-,"1,100.00",-31.35,"1,550","1,084.40","1,102.65",200,"18,300.00","2,250",1.8,2,850,-0.8,2,19.04,"25,189","6,106","12,809"
21,3,13,26.47,"1,085.00",26,"1,500",949.8,"1,096.45","1,500","18,350.00",50,1.8,6,"9,000",-0.75,2.05,18.45,"4,504",279,"1,031"
697,16,215,-,984.5,-53.75,200,981.35,999.5,200,"18,400.00",250,2.15,2.2,"2,400",-0.75,2.2,17.73,"50,443","11,681","17,926"
34,-,27,-,935.5,-14.5,"1,500",871.6,995.9,"1,500","18,450.00","1,000",1.9,2.5,"1,000",-0.7,2.3,17.01,"11,761",356,"2,978"
"9,425",-344,882,-,901.35,-33.95,500,894.05,899.1,100,"18,500.00","1,250",2.3,2.55,50,-0.75,2.5,16.33,"1,22,858","24,241","74,847"
102,-2,19,25.53,897.95,51.6,50,827,893.2,"1,500","18,550.00","36,000",2.15,3,50,-0.65,2.65,15.76,"14,147",864,"2,625"
"1,799",-47,167,-,799,-32.55,150,791.95,804.25,200,"18,600.00","1,500",2.6,2.9,650,-1.05,2.6,15.13,"79,010","12,790","27,491"
111,2,11,-,749.3,-50.7,100,729.7,801.15,200,"18,650.00","8,150",2.9,3,"1,000",-0.1,4,14.51,"30,391","8,393","10,338"
"2,445",-17,324,-,693.95,-46.6,150,692.8,699.75,150,"18,700.00","1,400",3.35,3.7,700,-1.15,3.45,13.96,"1,57,134","42,002","60,702"
